FPS 3.08, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.06, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.19, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.06, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.22, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.20, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.11, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.97, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.97, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.06, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.24, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.21, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.06, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.00, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.93, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.94, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.21, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.12, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.18, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.92, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.08, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 2.97, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.06, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
FPS 3.03, MODE_20W_6CORE, CPU 123.24%, MEM 2874.04MB, POWER 11627.00mW, GPU 10.90%
