Before Load Model: MODE_20W_6CORE, CPU[user] 124.50%, CPU[system] 153.06%, MEM 988.62MB, POWER 4925.00mW, GPU 0.00%, IOREAD 6064.00bread/s, IOWRITE 0.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.30 sec, MODE_20W_6CORE, CPU[user] 135.84%, CPU[system] 106.44%, MEM 3914.60MB, POWER 6771.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.30 sec, MODE_20W_6CORE, CPU[user] 100.68%, CPU[system] 92.46%, MEM 3860.28MB, POWER 8459.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.32 sec, MODE_20W_6CORE, CPU[user] 52.86%, CPU[system] 76.26%, MEM 3862.78MB, POWER 6435.00mW, GPU 9.60%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.29 sec, MODE_20W_6CORE, CPU[user] 146.40%, CPU[system] 101.04%, MEM 3913.79MB, POWER 5814.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.42 sec, MODE_20W_6CORE, CPU[user] 130.32%, CPU[system] 118.98%, MEM 3911.65MB, POWER 7122.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 72.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.39 sec, MODE_20W_6CORE, CPU[user] 62.76%, CPU[system] 87.00%, MEM 3913.65MB, POWER 9624.00mW, GPU 99.40%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.32 sec, MODE_20W_6CORE, CPU[user] 59.40%, CPU[system] 87.60%, MEM 3865.04MB, POWER 5710.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 40.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.29 sec, MODE_20W_6CORE, CPU[user] 140.76%, CPU[system] 97.62%, MEM 3912.19MB, POWER 6310.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.30 sec, MODE_20W_6CORE, CPU[user] 101.52%, CPU[system] 89.22%, MEM 3912.27MB, POWER 7439.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.35 sec, MODE_20W_6CORE, CPU[user] 60.60%, CPU[system] 70.68%, MEM 3911.98MB, POWER 7614.00mW, GPU 38.70%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.31 sec, MODE_20W_6CORE, CPU[user] 57.84%, CPU[system] 76.14%, MEM 3863.62MB, POWER 5633.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.29 sec, MODE_20W_6CORE, CPU[user] 135.18%, CPU[system] 98.28%, MEM 3911.79MB, POWER 6181.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.29 sec, MODE_20W_6CORE, CPU[user] 114.66%, CPU[system] 104.46%, MEM 3913.07MB, POWER 7341.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.37 sec, MODE_20W_6CORE, CPU[user] 54.54%, CPU[system] 68.70%, MEM 3912.43MB, POWER 7547.00mW, GPU 12.10%, IOREAD 0.00bread/s, IOWRITE 7.92bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.39 sec, MODE_20W_6CORE, CPU[user] 55.92%, CPU[system] 76.26%, MEM 3861.91MB, POWER 5655.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.29 sec, MODE_20W_6CORE, CPU[user] 135.60%, CPU[system] 97.62%, MEM 3911.31MB, POWER 6515.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.29 sec, MODE_20W_6CORE, CPU[user] 104.28%, CPU[system] 100.20%, MEM 3913.06MB, POWER 8038.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.30 sec, MODE_20W_6CORE, CPU[user] 64.02%, CPU[system] 92.94%, MEM 3914.23MB, POWER 8981.00mW, GPU 99.60%, IOREAD 0.00bread/s, IOWRITE 24.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.44 sec, MODE_20W_6CORE, CPU[user] 124.98%, CPU[system] 96.06%, MEM 3911.88MB, POWER 5515.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.36 sec, MODE_20W_6CORE, CPU[user] 136.38%, CPU[system] 110.10%, MEM 3912.64MB, POWER 7085.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.29 sec, MODE_20W_6CORE, CPU[user] 83.70%, CPU[system] 73.44%, MEM 3865.62MB, POWER 8416.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.32 sec, MODE_20W_6CORE, CPU[user] 62.16%, CPU[system] 85.56%, MEM 3863.65MB, POWER 6414.00mW, GPU 10.60%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.30 sec, MODE_20W_6CORE, CPU[user] 131.28%, CPU[system] 124.08%, MEM 3919.24MB, POWER 5853.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 40.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.36 sec, MODE_20W_6CORE, CPU[user] 133.56%, CPU[system] 116.10%, MEM 3865.42MB, POWER 7367.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.40 sec, MODE_20W_6CORE, CPU[user] 60.90%, CPU[system] 88.32%, MEM 3912.93MB, POWER 7553.00mW, GPU 99.60%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.32 sec, MODE_20W_6CORE, CPU[user] 54.00%, CPU[system] 82.98%, MEM 3864.65MB, POWER 5635.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.30 sec, MODE_20W_6CORE, CPU[user] 135.24%, CPU[system] 89.52%, MEM 3911.56MB, POWER 6321.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.29 sec, MODE_20W_6CORE, CPU[user] 126.96%, CPU[system] 111.60%, MEM 3911.37MB, POWER 7886.00mW, GPU 0.00%, IOREAD 0.00bread/s, IOWRITE 8.00bwrtn/s
Round-0 Process-0: Detection time for 5 frames: 0.32 sec, MODE_20W_6CORE, CPU[user] 89.34%, CPU[system] 93.42%, MEM 3912.65MB, POWER 7245.00mW, GPU 99.70%, IOREAD 0.00bread/s, IOWRITE 72.00bwrtn/s
